2023-12-13 22:12:20.261 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.261 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.261 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.262 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.262 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.262 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.262 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:1000
2023-12-13 22:12:20.262 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.263 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.263 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.263 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.263 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.264 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.264 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天1小时
2023-12-13 22:12:20.264 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.264 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.265 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.265 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.265 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.265 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.265 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.266 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.266 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.266 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
2023-12-13 22:12:20.266 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:111000
2023-12-13 22:12:20.267 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.267 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.267 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.268 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.269 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.269 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.272 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.272 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天1小时
2023-12-13 22:12:20.273 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.273 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.273 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
2023-12-13 22:12:20.274 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.274 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.274 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.275 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.276 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.276 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.277 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.278 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
2023-12-13 22:12:20.278 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.278 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.278 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.278 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 22:12:20.282 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
